TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP
16_3_59_86469_4_12,16_3_59_86469,101,86469,4,59,16,11807680010690,2006,2,2006,11807745010690,11807683010690,1,2,6.4,1,45.444788,-114.506581,103.9395,28,0,NA,NA,NA,NA,NA,735,218.1801,47,325,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,3,2,0.6666666666666666
16_3_59_88026_4_1,16_3_59_88026,101,88026,4,59,16,37276037010690,2010,2,2010,42525102010690,42525087010690,2,2,22.2,1,45.295641,-113.70313,34.1595,NA,0,NA,0,NA,0,NA,470,67.5672,90,183,0.5,NA,6.018046,NA,NA,NA,NA,NA,NA,413,11,3,0.2727272727272727
16_3_37_84884_1_28,16_3_37_84884,101,84884,1,37,16,12276399010690,2007,2,2008,31347148010690,12276401010690,1,1,1.2,1,44.545595,-114.602515,65.4271,24,10,9999,0,NA,NA,NA,700,148.1696,52,10,1,NA,74.965282,NA,NA,NA,NA,NA,NA,413,4,0,0
16_3_37_85857_2_10,16_3_37_85857,101,85857,2,37,16,40390067010690,2011,2,2011,51039384020004,51039365020004,1,2,24.3,1,43.756992,-113.987724,31.997,NA,12,9999,0,NA,0,NA,470,64.9301,42,180,0.75,NA,6.018046,2008,NA,NA,NA,10,NA,413,31,22,0.7096774193548387
16_3_37_85857_3_9,16_3_37_85857,101,85857,3,37,16,40390067010690,2011,2,2011,51039398020004,51039365020004,1,1,8.9,1,43.756992,-113.987724,31.997,NA,12,9999,0,NA,0,NA,470,64.9301,42,180,0.75,NA,6.018046,NA,0,NA,NA,NA,NA,413,31,22,0.7096774193548387
16_3_37_87357_2_4,16_3_37_87357,101,87357,2,37,16,40389962010690,2011,2,2011,51037781020004,51037750020004,1,1,5.8,1,44.537561,-114.482698,53.4022,24,12,9999,0,NA,0,NA,470,141.8552,9,146,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,8,5,0.625
16_3_37_88019_1_7,16_3_37_88019,101,88019,1,37,16,35371562010690,2009,2,2009,39515428010690,39515412010690,1,1,8.6,1,44.411918,-114.737358,65.6589,32,30,2006,10,9999,0,NA,595,93.3724,43,181,0.75,NA,6.018046,NA,41006,0,NA,NA,NA,413,5,3,0.6
16_3_43_84707_1_7,16_3_43_84707,101,84707,1,43,16,31362279010690,2008,2,2008,31362297010690,31362282010690,1,2,6.9,1,44.705473,-111.321487,121.3698,33,0,NA,NA,NA,NA,NA,670,249.0433,10,38,1,NA,6.018046,NA,NA,NA,NA,NA,NA,415,22,5,0.22727272727272727
16_3_43_84707_4_1,16_3_43_84707,101,84707,4,43,16,31362279010690,2008,2,2008,31362335010690,31362282010690,1,1,10.6,1,44.705473,-111.321487,121.3698,33,0,NA,NA,NA,NA,NA,670,249.0433,10,38,1,NA,6.018046,NA,90002,90006,0,NA,NA,415,22,5,0.22727272727272727
16_3_59_80303_2_16,16_3_59_80303,101,80303,2,59,16,11806586010690,2006,2,2008,31342639010690,11806588010690,1,2,6,1,44.814151,-114.663375,80.8991,22,31,2007,0,NA,NA,NA,470,162.4724,39,282,1,NA,6.018046,2007,NA,NA,NA,30,NA,413,57,28,0.49122807017543857
16_3_59_80303_3_6,16_3_59_80303,101,80303,3,59,16,11806586010690,2006,2,2008,31342655010690,11806588010690,1,1,9.3,1,44.814151,-114.663375,80.8991,22,31,2007,0,NA,NA,NA,470,162.4724,39,282,1,NA,6.018046,NA,90005,0,NA,NA,NA,413,57,28,0.49122807017543857
16_3_59_81426_4_17,16_3_59_81426,101,81426,4,59,16,40390852010690,2012,2,2012,195375220020004,195375130020004,1,2,7.8,1,44.795637,-114.626943,159.1011,24,0,NA,0,NA,0,NA,735,367.3366,57,345,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,17,17,1
16_3_59_81426_3_18,16_3_59_81426,101,81426,3,59,16,40390852010690,2012,2,2012,195375195020004,195375130020004,1,2,8.8,1,44.795637,-114.626943,159.1011,24,0,NA,0,NA,0,NA,735,367.3366,57,345,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,17,17,1
16_3_37_88943_2_2,16_3_37_88943,101,88943,2,37,16,35371566010690,2009,2,2010,42490977010690,42490967010690,1,2,11.2,1,44.406501,-113.574025,39.4848,NA,12,9999,0,NA,0,NA,595,69.6579,39,300,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,15,5,0.3333333333333333
16_3_37_88943_2_3,16_3_37_88943,101,88943,2,37,16,35371566010690,2009,2,2010,42490978010690,42490967010690,1,2,12.9,1,44.406501,-113.574025,39.4848,NA,12,9999,0,NA,0,NA,595,69.6579,39,300,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,15,5,0.3333333333333333
16_3_37_82396_3_10,16_3_37_82396,101,82396,3,37,16,5384029010690,2005,2,2005,5384081010690,5384032010690,1,1,8.9,1,44.369969,-114.680818,95.6412,28,10,2002,0,NA,NA,NA,735,187.8958,45,287,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,16,0,0
16_3_37_82396_4_10,16_3_37_82396,101,82396,4,37,16,5384029010690,2005,2,2005,5384094010690,5384032010690,1,1,7.6,1,44.369969,-114.680818,95.6412,28,10,2002,0,NA,NA,NA,735,187.8958,45,287,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,16,0,0
16_3_37_82809_3_10,16_3_37_82809,101,82809,3,37,16,11799233010690,2006,2,2006,11799283010690,11799236010690,1,1,2.3,1,44.455685,-114.804623,87.3083,21,10,2003,0,NA,NA,NA,670,203.7064,45,356,1,NA,74.965282,NA,NA,NA,NA,NA,NA,413,16,2,0.125
16_3_37_85270_3_3,16_3_37_85270,101,85270,3,37,16,35371617010690,2009,2,2009,39514735010690,39514700010690,1,2,16.1,1,43.951624,-114.382878,66.1504,22,10,9999,0,NA,NA,NA,735,135.2034,5,92,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,22,10,0.45454545454545453
16_3_37_87786_1_3,16_3_37_87786,101,87786,1,37,16,40390065010690,2012,2,2012,195362679020004,195362672020004,1,1,2.8,1,43.863802,-113.743922,87.5807,NA,10,9999,22,9999,92,9999,470,152.7955,48,268,1,NA,74.965282,NA,NA,NA,NA,NA,NA,413,21,3,0.14285714285714285
16_3_37_88560_4_3,16_3_37_88560,101,88560,4,37,16,37275774010690,2010,2,2010,42509615010690,42509590010690,1,2,5.8,1,44.620443,-115.026343,65.6011,38,0,NA,0,NA,0,NA,595,113.082,53,213,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,5,3,0.6
16_3_59_84128_1_11,16_3_59_84128,101,84128,1,59,16,12283667010690,2007,2,2008,31349389010690,12283669010690,1,1,6.8,1,44.715715,-114.595441,74.5415,36,0,NA,NA,NA,NA,NA,595,152.2014,61,64,0.75,NA,6.018046,NA,0,NA,NA,NA,NA,413,11,8,0.7272727272727273
16_3_59_84377_3_18,16_3_59_84377,101,84377,3,59,16,40390856010690,2011,2,2011,51052180020004,51052114020004,1,1,8,1,44.563591,-113.476645,177.0331,25,0,NA,0,NA,0,NA,670,357.14,68,352,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,33,6,0.18181818181818182
16_3_59_84798_2_1,16_3_59_84798,101,84798,2,59,16,12283771010690,2007,2,2007,12283794010690,12283774010690,1,2,7.6,1,44.565369,-113.616249,53.1952,NA,0,NA,NA,NA,NA,NA,470,85.0173,48,226,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,27,17,0.6296296296296297
16_3_59_84907_4_10,16_3_59_84907,101,84907,4,59,16,12283943010690,2007,2,2007,12283986010690,12283946010690,1,2,7.1,1,45.437436,-113.815373,55.5568,22,0,NA,NA,NA,NA,NA,470,120.9008,50,147,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,36,15,0.4166666666666667
16_3_59_87303_1_10,16_3_59_87303,101,87303,1,59,16,4732557010690,2004,2,2004,4732578010690,4732560010690,1,1,8.5,1,44.52747,-113.05262,182.7045,25,0,NA,NA,NA,NA,NA,670,339.1854,41,338,1,NA,6.018046,NA,90011,0,NA,NA,NA,413,39,14,0.358974358974359
16_3_59_87303_1_23,16_3_59_87303,101,87303,1,59,16,4732557010690,2004,2,2004,4732591010690,4732560010690,1,1,8,1,44.52747,-113.05262,182.7045,25,0,NA,NA,NA,NA,NA,670,339.1854,41,338,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,39,14,0.358974358974359
16_3_59_88026_2_1,16_3_59_88026,101,88026,2,59,16,37276037010690,2010,2,2010,42525096010690,42525087010690,2,1,7.3,1,45.295641,-113.70313,34.1595,NA,0,NA,0,NA,0,NA,470,67.5672,90,183,0.5,NA,6.018046,NA,0,NA,NA,NA,NA,413,11,3,0.2727272727272727
16_3_59_84392_1_3,16_3_59_84392,101,84392,1,59,16,40390790010690,2013,2,2013,273515185489998,273515167489998,1,2,7.9,1,44.72238,-114.411735,53.9152,31,10,2009,0,NA,0,NA,735,116.1326,14,343,1,NA,6.018046,2009,NA,NA,NA,10,NA,413,30,25,0.8333333333333334
16_3_59_84798_1_6,16_3_59_84798,101,84798,1,59,16,12283771010690,2007,2,2007,12283788010690,12283774010690,1,1,17.7,1,44.565369,-113.616249,53.1952,NA,0,NA,NA,NA,NA,NA,470,85.0173,48,226,1,NA,6.018046,NA,90011,0,NA,NA,NA,413,27,17,0.6296296296296297
16_3_59_82847_4_18,16_3_59_82847,101,82847,4,59,16,11807205010690,2006,2,2006,11807277010690,11807208010690,1,2,5.2,1,44.535761,-113.638923,113.281,22,0,NA,NA,NA,NA,NA,470,192.7725,50,281,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,57,31,0.543859649122807
16_3_59_84798_1_11,16_3_59_84798,101,84798,1,59,16,12283771010690,2007,2,2007,12283793010690,12283774010690,1,1,11.7,1,44.565369,-113.616249,53.1952,NA,0,NA,NA,NA,NA,NA,470,85.0173,48,226,1,NA,6.018046,NA,90006,50013,0,NA,NA,413,27,17,0.6296296296296297
16_3_59_88026_2_4,16_3_59_88026,101,88026,2,59,16,37276037010690,2010,2,2010,42525099010690,42525087010690,2,1,10.4,1,45.295641,-113.70313,34.1595,NA,0,NA,0,NA,0,NA,470,67.5672,90,183,0.5,NA,6.018046,NA,90005,90006,0,NA,NA,413,11,3,0.2727272727272727
