PLOT,SPCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,INSECT,DISEASE,FIRE,disturbance_type
88716,101,16,40391511010690,2011,2,2011,51056907020004,1,1,1,45.011732,-115.545132,36.9836,41,0,NA,0,NA,0,NA,700,73.6694,30,174,1,NA,6.018046,NA,412,4,0,0,0,0,0,None
88746,101,16,40391522010690,2011,2,2012,51057074020004,1,1,1,44.911486,-114.97958,45.4651,NA,0,NA,0,NA,0,NA,595,82.3438,55,225,1,NA,6.018046,NA,412,2,0,0,0,0,0,None
88771,101,16,37275751010690,2010,2,2010,42509094010690,1,2,1,44.190112,-114.810515,135.5848,NA,12,9999,0,NA,0,NA,670,228.7352,33,319,1,NA,6.018046,2007,414,1,1,1,1,0,0,INSECT
88821,101,16,4733036010690,2004,2,2004,4733039010690,1,1,1,44.802738,-113.915379,13.9287,29,0,NA,NA,NA,NA,NA,595,30.8919,53,204,1,NA,6.018046,NA,413,6,1,0.16666666666666666,0,0,0,None
88849,101,16,31353941010690,2008,2,2008,31353945010690,2,1,1,43.833797,-114.68871,98.2401,23,0,NA,NA,NA,NA,NA,735,229.867,15,70,0.25,NA,6.018046,NA,414,1,0,0,0,0,0,None
88873,101,16,4733058010690,2004,2,2004,4733061010690,1,1,1,45.491004,-114.443493,114.7131,30,0,NA,NA,NA,NA,NA,700,246.298,44,313,1,NA,6.018046,NA,413,8,0,0,0,0,0,None
88887,101,16,31366811010690,2008,2,2008,31366814010690,1,2,1,45.554944,-116.16157,101.6337,35,0,NA,NA,NA,NA,NA,735,205.2667,40,270,1,NA,6.018046,2003,117,14,11,0.7857142857142857,0,0,0,None
88914,101,16,11800993010690,2006,2,2006,11800996010690,1,1,1,43.618888,-115.447611,63.746,22,0,NA,NA,NA,NA,NA,735,164.2259,60,355,0.75,NA,74.965282,NA,402,2,0,0,0,0,0,None
88929,101,16,35371607010690,2009,2,2011,50634285020004,1,1,2,44.050889,-114.507046,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,6.018046,NA,414,1,0,0,0,0,0,None
88931,101,16,40390474010690,2012,2,2013,272346408489998,1,2,1,45.596649,-115.648904,70.3707,35,0,NA,0,NA,0,NA,735,146.1244,36,2,1,NA,6.018046,NA,117,3,3,1,0,0,0,None
88943,101,16,35371566010690,2009,2,2010,42490967010690,1,2,1,44.406501,-113.574025,39.4848,NA,12,9999,0,NA,0,NA,595,69.6579,39,300,1,NA,NA,2008,413,15,5,0.3333333333333333,1,0,0,INSECT
88965,101,16,12270172010690,2007,2,2007,12270175010690,1,1,1,44.248559,-115.440422,141.2169,27,0,NA,NA,NA,NA,NA,700,301.0882,9,294,1,NA,6.018046,NA,402,1,0,0,0,0,0,None
