...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD
22110,16_1_57_80447_1_5,16_1_57_80447,119,80447,1,57,16,37275986010690,2010,2,2010,42521613010690,42521601010690,1,1,5.2,1,46.911055,-116.350259,102.9308,71,0,NA,0,NA,0,NA,595,264.5943,45,286,0.868936,NA,6.018046,NA,0,NA,NA,NA,NA,105
22313,16_1_49_88185_2_12,16_1_49_88185,108,88185,2,49,16,37275905010690,2010,2,2010,42515995010690,42515968010690,1,1,9,1,45.771686,-115.082897,20.1099,51,10,2009,0,NA,0,NA,700,39.5684,30,170,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
22763,16_1_49_80525_4_3,16_1_49_80525,108,80525,4,49,16,40390563010690,2011,2,2011,51047348020004,51047299020004,1,2,6.4,1,45.84402,-115.226549,89.0789,58,10,2009,0,NA,0,NA,700,162.2895,38,264,1,NA,6.018046,2009,NA,NA,NA,20,NA,117
22853,16_1_49_81630_1_4,16_1_49_81630,108,81630,1,49,16,40390569010690,2011,2,2011,51047541020004,51047523020004,1,1,10.1,1,45.532261,-116.05988,117.2971,49,10,2010,10,2009,10,2008,670,233.7227,45,248,1,NA,6.018046,NA,90011,0,NA,NA,NA,117
22943,16_1_35_84321_1_3,16_1_35_84321,108,84321,1,35,16,40389898010690,2011,2,2011,51036371020004,51036356020004,1,2,10.8,1,46.666498,-114.914673,64.9113,53,12,2007,0,NA,0,NA,700,110.2644,28,300,1,NA,6.018046,2007,NA,NA,NA,10,NA,105
22988,16_1_49_80525_2_12,16_1_49_80525,108,80525,2,49,16,40390563010690,2011,2,2011,51047330020004,51047299020004,1,1,9.4,1,45.84402,-115.226549,89.0789,58,10,2009,0,NA,0,NA,700,162.2895,38,264,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
23483,16_1_49_85264_4_2,16_1_49_85264,108,85264,4,49,16,40390491010690,2011,2,2011,51045564020004,51045513020004,2,1,11.4,1,45.516813,-116.098896,141.7616,49,0,NA,0,NA,0,NA,700,314.905,48,2,0.5,NA,6.018046,NA,0,NA,NA,NA,NA,117
23618,16_1_49_88571_4_33,16_1_49_88571,108,88571,4,49,16,40390459010690,2011,2,2011,51044529020004,51044431020004,1,1,6.3,1,45.689049,-115.51979,95.2956,44,12,2009,0,NA,0,NA,700,186.5156,36,282,1,NA,6.018046,NA,90011,0,NA,NA,NA,117
23663,16_1_49_83267_2_22,16_1_49_83267,108,83267,2,49,16,40390421010690,2011,2,2011,51043469020004,51043431020004,1,2,6.2,1,45.870518,-115.40028,161.3298,63,0,NA,0,NA,0,NA,700,311.0242,15,188,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
23888,16_1_49_82117_4_25,16_1_49_82117,108,82117,4,49,16,31363557010690,2008,2,2009,39503075010690,31363559010690,1,1,3.4,1,45.989003,-114.679762,118.2586,45,0,NA,NA,NA,NA,NA,700,258.36,0,0,1,NA,74.965282,NA,NA,NA,NA,NA,NA,117
23910,16_1_57_80443_1_29,16_1_57_80443,119,80443,1,57,16,31367769010690,2008,2,2008,31367808010690,31367772010690,1,2,10,1,46.904909,-116.409576,195.7688,61,0,NA,NA,NA,NA,NA,735,378.2006,24,304,1,NA,6.018046,2003,NA,NA,NA,20,NA,105
24023,16_1_35_83902_3_5,16_1_35_83902,108,83902,3,35,16,37275711010690,2010,2,2011,50633729020004,50633687020004,1,1,10.7,1,46.6285,-115.302272,121.79,56,0,NA,0,NA,0,NA,700,229.055,40,215,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
24608,16_1_49_80718_1_9,16_1_49_80718,108,80718,1,49,16,12278825010690,2007,2,2007,12278844010690,12278828010690,1,2,7.8,1,46.035571,-114.678427,114.2621,39,0,NA,NA,NA,NA,NA,700,220.9692,55,16,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
24653,16_1_35_88794_3_1,16_1_35_88794,108,88794,3,35,16,12275606010690,2007,2,2007,12275666010690,12275609010690,1,1,8.8,1,46.663084,-114.716938,193.838,35,0,NA,NA,NA,NA,NA,700,418.0097,30,192,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
25148,16_1_49_87903_3_16,16_1_49_87903,108,87903,3,49,16,31366129010690,2008,2,2008,31366188010690,31366132010690,1,1,7.8,1,45.58022,-115.827821,134.0322,40,0,NA,NA,NA,NA,NA,700,281.7884,20,240,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
25193,16_1_35_85342_3_3,16_1_35_85342,108,85342,3,35,16,35371510010690,2009,2,2009,39513519010690,39513500010690,1,1,15.3,1,46.666799,-114.973721,152.3439,58,0,NA,NA,NA,NA,NA,700,224.5805,38,86,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
25373,16_1_57_83601_4_6,16_1_57_83601,108,83601,4,57,16,35372052010690,2009,2,2009,39521972010690,39521907010690,1,1,15.2,1,46.772695,-116.415502,151.0506,63,0,NA,NA,NA,NA,NA,700,288.3484,33,250,1,NA,6.018046,NA,90011,0,NA,NA,NA,105
25823,16_1_49_85264_4_6,16_1_49_85264,108,85264,4,49,16,40390491010690,2011,2,2011,51045568020004,51045513020004,2,1,7.9,1,45.516813,-116.098896,141.7616,49,0,NA,0,NA,0,NA,700,314.905,48,2,0.5,NA,6.018046,NA,0,NA,NA,NA,NA,117
26093,16_1_35_80792_4_1,16_1_35_80792,108,80792,4,35,16,40389906010690,2012,2,2013,272347343489998,272347297489998,1,2,6.4,1,46.630932,-115.239597,140.795,53,22,9999,0,NA,0,NA,670,235.0442,35,45,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
26183,16_1_35_82943_4_16,16_1_35_82943,108,82943,4,35,16,40389907010690,2012,2,2012,195359903020004,195359828020004,1,2,6.6,1,46.62405,-114.91087,125.3732,56,0,NA,0,NA,0,NA,700,226.8875,33,93,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
26228,16_1_35_85797_1_6,16_1_35_85797,108,85797,1,35,16,40389862010690,2012,2,2012,195358611020004,195358598020004,1,2,5.9,1,46.891342,-115.104061,55.1136,58,12,9999,0,NA,0,NA,700,100.0862,55,145,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
26273,16_1_35_85802_2_1,16_1_35_85802,108,85802,2,35,16,40389911010690,2012,2,2012,195360252020004,195360213020004,1,1,8.8,1,46.576402,-115.032251,195.0679,45,12,2011,0,NA,0,NA,700,376.9762,17,323,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
26318,16_1_35_85802_4_16,16_1_35_85802,108,85802,4,35,16,40389911010690,2012,2,2012,195360314020004,195360213020004,1,1,10.5,1,46.576402,-115.032251,195.0679,45,12,2011,0,NA,0,NA,700,376.9762,17,323,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
26678,16_1_35_82943_2_15,16_1_35_82943,108,82943,2,35,16,40389907010690,2012,2,2012,195359866020004,195359828020004,1,2,7.6,1,46.62405,-114.91087,125.3732,56,0,NA,0,NA,0,NA,700,226.8875,33,93,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
26768,16_1_49_81546_4_6,16_1_49_81546,108,81546,4,49,16,40390475010690,2012,2,2012,195368758020004,195368694020004,1,2,6.5,1,45.594189,-115.330815,24.2998,53,10,2011,10,2009,10,2008,735,53.0327,24,358,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
26813,16_1_49_81914_1_3,16_1_49_81914,108,81914,1,49,16,40390440010690,2012,2,2012,195367488020004,195367474020004,1,2,8.2,1,45.782101,-115.845859,179.7487,37,0,NA,0,NA,0,NA,735,313.2384,30,172,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
27173,16_1_49_86402_1_12,16_1_49_86402,108,86402,1,49,16,40390480010690,2012,2,2012,195368908020004,195368888020004,1,2,8.6,1,45.552662,-116.042386,97.3023,52,12,2011,12,2010,0,NA,700,191.0712,38,71,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
27218,16_1_49_86402_4_13,16_1_49_86402,108,86402,4,49,16,40390480010690,2012,2,2012,195368978020004,195368888020004,1,2,8.2,1,45.552662,-116.042386,97.3023,52,12,2011,12,2010,0,NA,700,191.0712,38,71,1,NA,6.018046,2009,NA,NA,NA,20,NA,117
27398,16_1_49_88643_1_11,16_1_49_88643,108,88643,1,49,16,40390443010690,2012,2,2012,195367823020004,195367799020004,1,2,13,1,45.76691,-115.006586,90.7419,44,12,2008,0,NA,0,NA,735,150.9474,37,207,1,NA,6.018046,2008,NA,NA,NA,10,NA,117
27668,16_1_49_87743_1_17,16_1_49_87743,108,87743,1,49,16,40390469010690,2012,2,2013,272347158489998,272347136489998,1,2,8.4,1,45.644758,-115.522088,0,44,30,2011,0,NA,0,NA,700,0,24,245,1,NA,6.018046,2012,NA,NA,NA,30,NA,117
27784,16_1_49_86004_2_3,16_1_49_86004,122,86004,2,49,16,40390500010690,2012,2,2012,195369096020004,195369077020004,1,1,20.5,1,45.469137,-116.174989,168.3963,83,0,NA,0,NA,0,NA,595,220.1871,42,356,1,NA,6.018046,NA,90006,0,NA,NA,NA,117
27938,16_1_49_88643_3_19,16_1_49_88643,108,88643,3,49,16,40390443010690,2012,2,2012,195367860020004,195367799020004,1,1,10.8,1,45.76691,-115.006586,90.7419,44,12,2008,0,NA,0,NA,735,150.9474,37,207,1,NA,6.018046,NA,90011,0,NA,NA,NA,117
28073,16_1_35_85599_3_3,16_1_35_85599,108,85599,3,35,16,40389899010690,2013,2,2013,273512142489998,273512089489998,1,2,9.4,1,46.664115,-114.850538,152.2318,48,12,9999,0,NA,0,NA,700,291.1819,40,240,1,NA,6.018046,2002,NA,NA,NA,10,NA,105
28163,16_1_49_81306_2_12,16_1_49_81306,108,81306,2,49,16,40390456010690,2013,2,2013,273513956489998,273513920489998,2,1,11.1,1,45.690487,-115.980104,309.3841,58,0,NA,0,NA,0,NA,670,508.7165,24,228,0.25,NA,6.018046,NA,0,NA,NA,NA,NA,117
28253,16_1_49_82662_2_19,16_1_49_82662,108,82662,2,49,16,40390422010690,2013,2,2013,273508022489998,273507964489998,1,1,6.8,1,45.866326,-115.332834,107.5343,45,0,NA,0,NA,0,NA,700,212.1442,12,253,1,NA,6.018046,NA,22000,0,NA,NA,NA,117
28523,16_1_49_86559_2_2,16_1_49_86559,108,86559,2,49,16,40390411010690,2013,2,2013,273530094489998,273530058489998,1,1,8.8,1,45.903173,-115.001918,64.779,30,12,2010,0,NA,0,NA,700,134.4336,21,254,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
28532,16_1_49_86559_3_7,16_1_49_86559,101,86559,3,49,16,40390411010690,2013,2,2013,273530105489998,273530058489998,1,1,5.7,1,45.903173,-115.001918,64.779,30,12,2010,0,NA,0,NA,700,134.4336,21,254,1,NA,6.018046,NA,90002,0,NA,NA,NA,117
28613,16_1_49_87989_1_4,16_1_49_87989,108,87989,1,49,16,40390460010690,2013,2,2013,273514064489998,273514049489998,1,1,9.8,1,45.682387,-115.455719,63.5876,42,31,2012,0,NA,0,NA,700,128.703,10,59,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
28928,16_1_49_84757_2_5,16_1_49_84757,108,84757,2,49,16,40390468010690,2013,2,2014,325209340489998,325209294489998,2,1,7,1,45.642842,-115.850385,126.7173,58,22,9999,0,NA,0,NA,700,291.7496,52,258,0.25,NA,6.018046,NA,90002,0,NA,NA,NA,117
29018,16_1_49_86124_3_5,16_1_49_86124,108,86124,3,49,16,40390483010690,2013,2,2013,273522962489998,273522913489998,1,1,8,1,45.553896,-115.654325,67.5943,30,0,NA,0,NA,0,NA,735,145.8423,66,284,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
